Company name,Company Domain Name,Phone Number,Street Address,City,State/Region,Postal Code,Country/Region,Industry,Website URL,Description,SquatchScout Score,Tier,Verified Email,Founded Year,Owner Operated,Chain Suspected,Data Sources
KC Dental,kcdentalaustin.com,+15129180888,West Parmer Lane,Austin,TX,78729,US,Dentists,https://www.kcdentalaustin.com/,verified email (MX ok) +12; valid phone +8; contact page found +3; website reachable +2; founded 2006 (20 yrs) +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; 20 years old +8; owner named on site +4; family-owned / owner-operated +3,95.0,A,info@kcdentalaustin.com,2006,true,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Dental Smiles Family & Cosmetic Dentistry,mydentalsmiles.com,+15124679955,Barbara Jordan Boulevard,Austin,TX,78723,US,Dentists,https://mydentalsmiles.com/,verified email (MX ok) +12; valid phone +8; contact page found +3; website reachable +2; founded 2010 (16 yrs) +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; 16 years old +5; owner named on site +4; family-owned / owner-operated +3,92.0,A,info@mydentalsmiles.com,2010,true,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Kunik Orthodontics,kunikorthodontics.com,+15123277575,West 3rd Street,Austin,TX,78703,US,Dentists,https://www.kunikorthodontics.com/,verified email (MX ok) +12; valid phone +8; contact page found +3; website reachable +2; founded 1991 (35 yrs) +8; full address in OSM +3; phone/website in OSM +2; live website +5; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; 35 years old +8; owner named on site +4; family-owned / owner-operated +3,86.0,A,contact@drkunik.com,1991,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Smile 360,smile360atx.com,+15124444746,South Lamar Boulevard,Austin,TX,78704,US,Dentists,https://www.smile360atx.com/,valid phone +8; contact page found +3; website reachable +2; founded 2006 (20 yrs) +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; no online booking +5; no chat widget +3; copyright year 2012 is stale +5; independent (not a chain) +12; physical address known +4; real business name +4; 20 years old +8; owner named on site +4; family-owned / owner-operated +3,81.0,A,,2006,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Canvas Dental,canvasdental.com,+15126464505,Farm to Market Road 1826,Austin,TX,78737,US,Dentists,https://canvasdental.com/,verified email (MX ok) +12; valid phone +8; contact page found +3; website reachable +2; full address in OSM +3; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; owner named on site +4; family-owned / owner-operated +3,77.0,A,smile@canvasdental.com,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Valencia Smiles Dental Care,valenciasmilesdentalcare.com,+15126098228,West Anderson Lane,Austin,TX,78757,US,Dentists,https://valenciasmilesdentalcare.com/,verified email (MX ok) +12; valid phone +8; website reachable +2; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; owner named on site +4; family-owned / owner-operated +3,76.0,A,info@valenciasmilesdentalcare.com,,true,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Aloha Dental,aloha-dental.com,+15127077300,East Riverside Drive,Austin,TX,78741,US,Dentists,https://www.aloha-dental.com/,verified email (MX ok) +12; valid phone +8; contact page found +3; website reachable +2; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no chat widget +3; copyright year 2024 is stale +5; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,72.0,A,riverside@aloha-dental.com,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Tech Ridge Dental,techridgedental.com,+15128212394,North Interstate 35,Austin,TX,78753,US,Dentists,https://www.techridgedental.com/,valid phone +8; website reachable +2; founded 2011 (15 yrs) +8; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; 15 years old +5; family-owned / owner-operated +3,66.0,B,,2011,true,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Smiles of Austin & Dripping Springs,smilesofaustin.net,+15124518310,West 35th Street,Austin,TX,78703,US,Dentists,https://smilesofaustin.net/,valid phone +8; website reachable +2; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no online booking +5; no chat widget +3; independent (not a chain) +12; physical address known +4; real business name +4; family-owned / owner-operated +3,60.0,B,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
Ortho 360 Orthodontics,ortho360.com,+15123400360,West 38th Street,Austin,TX,78731,US,Dentists,https://www.ortho360.com/,valid phone +8; contact page found +3; website reachable +2; full address in OSM +3; opening hours in OSM +2; phone/website in OSM +2; live website +5; DIY site builder (wordpress) +7; no online booking +5; independent (not a chain) +12; physical address known +4; real business name +4; no succession signals,57.0,B,,,,False,SquatchScout · weights R/E/D/B/S=25/20/20/20/15 · data © OpenStreetMap contributors (ODbL) + business websites
